NULL,9554,32586,42140,32586,42140,NULL,OH
NULL,10234,9896,20130,26468,36702,NULL,IN
NULL,NA,2893,2893,6973,6973,NULL,MD
NULL,7500,14150,21650,14150,21650,NULL,MO
NULL,4612,12300,16912,12300,16912,NULL,FL
NULL,2900,14700,17600,14700,17600,NULL,TN
NULL,3150,6690,9840,6690,9840,NULL,TX
NULL,2500,7800,10300,7800,10300,NULL,TX
NULL,9300,19690,28990,19690,28990,NULL,KS
NULL,15488,54680,70168,54680,70168,NULL,NY
NULL,14916,55732,70648,55732,70648,NULL,MA
NULL,17225,55032,72257,55032,72257,NULL,NY
NULL,11100,29850,40950,29850,40950,NULL,FL
NULL,NA,1391,1391,9131,9131,NULL,CA
NULL,10120,30880,41000,30880,41000,NULL,NC
NULL,5794,3440,9234,3440,9234,NULL,KS
NULL,7590,26166,33756,26166,33756,NULL,WA
NULL,15224,53794,69018,53794,69018,NULL,ME
NULL,NA,4783,4783,10214,10214,NULL,WA
NULL,NA,3981,3981,8059,8059,NULL,LA
NULL,3200,4830,8030,8910,12110,NULL,MI
NULL,NA,3250,3250,3250,3250,NULL,MI
NULL,12799,34225,47024,34225,47024,NULL,MA
NULL,13300,27750,41050,27750,41050,NULL,MA
NULL,NA,5775,5775,5775,5775,NULL,PR
NULL,12595,45727,58322,45727,58322,NULL,TX
NULL,11390,39016,50406,39016,50406,NULL,FL
NULL,NA,2344,2344,8104,8104,NULL,NC
NULL,13800,39200,53000,39200,53000,NULL,MA
NULL,NA,4000,4000,4000,4000,NULL,KY
NULL,4500,9500,14000,9500,14000,NULL,NY
NULL,8500,25300,33800,25300,33800,NULL,MS
NULL,12250,42200,54450,42200,54450,NULL,KY
NULL,NA,4258,4258,9689,9689,NULL,WA
NULL,8730,9390,18120,9390,18120,NULL,NE
NULL,NA,22178,22178,22178,22178,NULL,WI
NULL,NA,2790,2790,3460,3460,NULL,WA
NULL,10355,18500,28855,18500,28855,NULL,NC
NULL,NA,4973,4973,8070,8070,NULL,OH
NULL,12120,34310,46430,34310,46430,NULL,TN
NULL,8830,50040,58870,50040,58870,NULL,WI
NULL,8408,8696,17104,8696,17104,NULL,MN
NULL,6200,16600,22800,16600,22800,NULL,SC
