NULL,Bolivar Technical College,Private,2 Year,MO
NULL,Boricua College,Private,4 Year,NY
NULL,Bossier Parish Community College,Public,2 Year,LA
NULL,Boston Architectural College,Private,4 Year,MA
NULL,Boston Baptist College,Private,4 Year,MA
NULL,Boston College,Private,4 Year,MA
NULL,Boston Conservatory at Berklee,Private,4 Year,MA
NULL,Boston University,Private,4 Year,MA
NULL,Bowdoin College,Private,4 Year,ME
NULL,Bowie State University,Public,4 Year,MD
NULL,Bowling Green State University,Public,4 Year,OH
NULL,Bowling Green State University: Firelands College,Public,2 Year,OH
NULL,Bradley University,Private,4 Year,IL
NULL,Brandeis University,Private,4 Year,MA
NULL,Brandman University,Private,4 Year,CA
NULL,Brazosport College,Public,2 Year,TX
NULL,Brenau University,Private,4 Year,GA
NULL,Brescia University,Private,4 Year,KY
NULL,Brevard College,Private,4 Year,NC
NULL,Brewton-Parker College,Private,4 Year,GA
NULL,Briar Cliff University,Private,4 Year,IA
NULL,BridgeValley Community and Technical College,Public,2 Year,WV
NULL,Bridgewater College,Private,4 Year,VA
NULL,Bridgewater State University,Public,4 Year,MA
NULL,Brigham Young University,Private,4 Year,UT
NULL,Brigham Young University-Hawaii,Private,4 Year,HI
NULL,Brigham Young University-Idaho,Private,4 Year,ID
NULL,Bristol Community College,Public,2 Year,MA
NULL,Brookdale Community College,Public,2 Year,NJ
NULL,Brookhaven College,Public,2 Year,TX
NULL,Broome Community College,Public,2 Year,NY
NULL,Broward College,Public,2 Year,FL
NULL,Brown University,Private,4 Year,RI
NULL,Brunswick Community College,Public,2 Year,NC
NULL,Bryan College of Health Sciences,Private,4 Year,NE
NULL,Bryan College: Dayton,Private,4 Year,TN
NULL,Bryan University: Rogers,For Profit,2 Year,AR
NULL,Bryant University,Private,4 Year,RI
NULL,Bryn Athyn College,Private,4 Year,PA
NULL,Bryn Mawr College,Private,4 Year,PA
NULL,Bucknell University,Private,4 Year,PA
NULL,Bucks County Community College,Public,2 Year,PA
NULL,Buena Vista University,Private,4 Year,IA
NULL,Bunker Hill Community College,Public,2 Year,MA
NULL,Butler Community College,Public,2 Year,KS
NULL,Butler County Community College,Public,2 Year,PA
NULL,Butler University,Private,4 Year,IN
NULL,Butte College,Public,2 Year,CA
NULL,Cabarrus College of Health Sciences,Private,4 Year,NC
NULL,Cabrillo College,Public,2 Year,CA
NULL,Cabrini University,Private,4 Year,PA
NULL,Cairn University,Private,4 Year,PA
NULL,Caldwell Community College and Technical Institute,Public,2 Year,NC
NULL,Caldwell University,Private,4 Year,NJ
NULL,Calhoun Community College,Public,2 Year,AL
NULL,California Baptist University,Private,4 Year,CA
NULL,California Christian College,Private,4 Year,CA
NULL,California Coast University,For Profit,4 Year,CA
NULL,California College of the Arts,Private,4 Year,CA
NULL,California Institute of Integral Studies,Private,4 Year,CA
NULL,California Institute of Technology,Private,4 Year,CA
NULL,California Institute of the Arts,Private,4 Year,CA
NULL,California Lutheran University,Private,4 Year,CA
NULL,California Maritime Academy,Public,4 Year,CA
NULL,California Miramar University,Private,4 Year,CA
NULL,California Northstate University College of Health Sciences,Private,4 Year,CA
NULL,California Polytechnic State University: San Luis Obispo,Public,4 Year,CA
NULL,California State Polytechnic University: Pomona,Public,4 Year,CA
NULL,California State University: Bakersfield,Public,4 Year,CA
NULL,California State University: Channel Islands,Public,4 Year,CA
NULL,California State University: Chico,Public,4 Year,CA
NULL,California State University: Dominguez Hills,Public,4 Year,CA
NULL,California State University: East Bay,Public,4 Year,CA
NULL,California State University: Fresno,Public,4 Year,CA
NULL,California State University: Fullerton,Public,4 Year,CA
NULL,California State University: Long Beach,Public,4 Year,CA
NULL,California State University: Los Angeles,Public,4 Year,CA
NULL,California State University: Monterey Bay,Public,4 Year,CA
NULL,California State University: Northridge,Public,4 Year,CA
NULL,California State University: Sacramento,Public,4 Year,CA
NULL,California State University: San Bernardino,Public,4 Year,CA
NULL,California State University: San Marcos,Public,4 Year,CA
NULL,California State University: Stanislaus,Public,4 Year,CA
NULL,California University of Management and Sciences,Private,4 Year,CA
NULL,California University of Pennsylvania,Public,4 Year,PA
